"","RequestNumber","SampleTimeMS","Bytes","min","max","sd","fileName","createTimeX","totalClicks","rowsError","users","model","version","modelAlias","autounset","setDefaults","ramup","times","defaultVals","diffTimeMins","confPerHour","fileData","createTimeF","fileNameF","confPerHourF","usersF","diffTimeMinsF","totalClicksF","totalConf","fileDate"
"1",0,1619,5619,1619,1619,0,"Test_JT1_1_30_1_KB_GCR_NW_CB.SIMPLE_20_75_140825.0_true_true.csv",2014-11-24 13:39:23,41,0,"1","KB_GCR_NW_CB","140825.0","KB_GCR_NW_CB.SIMPLE_20_75","true","true","30","1","20",2.58333333333333,23.2258064516129,"Users: 1

 Model: KB_GCR_NW_CB

 Version: 140825.0

  defaultValues: 20

 autounset: true

 setDefaults: true

 ramup: 30

 times: 30

 Errors: 0

 Clicks: 41

The test started at 2014-11-24 13:39:23 and finished at 2014-11-24 13:41:58

Therefore the total duration was around 3 minutes.

The number of configurations by hour was around 23 

","2014-11-24 13:39:23","Test_JT1_1_30_1_KB_GCR_NW_CB.SIMPLE_20_75_140825.0_true_true.csv","23","1","3","41","1","Test_JT1_1_30_1_KB_GCR_NW_CB.SIMPLE_20_75_140825.0_true_true.csv 
 2014-11-24 13:39:23"
"2",1,290,3640,290,290,0,"Test_JT1_1_30_1_KB_GCR_NW_CB.SIMPLE_20_75_140825.0_true_true.csv",2014-11-24 13:39:23,41,0,"1","KB_GCR_NW_CB","140825.0","KB_GCR_NW_CB.SIMPLE_20_75","true","true","30","1","20",2.58333333333333,23.2258064516129,"Users: 1

 Model: KB_GCR_NW_CB

 Version: 140825.0

  defaultValues: 20

 autounset: true

 setDefaults: true

 ramup: 30

 times: 30

 Errors: 0

 Clicks: 41

The test started at 2014-11-24 13:39:23 and finished at 2014-11-24 13:41:58

Therefore the total duration was around 3 minutes.

The number of configurations by hour was around 23 

","2014-11-24 13:39:23","Test_JT1_1_30_1_KB_GCR_NW_CB.SIMPLE_20_75_140825.0_true_true.csv","23","1","3","41","1","Test_JT1_1_30_1_KB_GCR_NW_CB.SIMPLE_20_75_140825.0_true_true.csv 
 2014-11-24 13:39:23"
"3",2,229,3647,229,229,0,"Test_JT1_1_30_1_KB_GCR_NW_CB.SIMPLE_20_75_140825.0_true_true.csv",2014-11-24 13:39:23,41,0,"1","KB_GCR_NW_CB","140825.0","KB_GCR_NW_CB.SIMPLE_20_75","true","true","30","1","20",2.58333333333333,23.2258064516129,"Users: 1

 Model: KB_GCR_NW_CB

 Version: 140825.0

  defaultValues: 20

 autounset: true

 setDefaults: true

 ramup: 30

 times: 30

 Errors: 0

 Clicks: 41

The test started at 2014-11-24 13:39:23 and finished at 2014-11-24 13:41:58

Therefore the total duration was around 3 minutes.

The number of configurations by hour was around 23 

","2014-11-24 13:39:23","Test_JT1_1_30_1_KB_GCR_NW_CB.SIMPLE_20_75_140825.0_true_true.csv","23","1","3","41","1","Test_JT1_1_30_1_KB_GCR_NW_CB.SIMPLE_20_75_140825.0_true_true.csv 
 2014-11-24 13:39:23"
"4",3,202,3591,202,202,0,"Test_JT1_1_30_1_KB_GCR_NW_CB.SIMPLE_20_75_140825.0_true_true.csv",2014-11-24 13:39:23,41,0,"1","KB_GCR_NW_CB","140825.0","KB_GCR_NW_CB.SIMPLE_20_75","true","true","30","1","20",2.58333333333333,23.2258064516129,"Users: 1

 Model: KB_GCR_NW_CB

 Version: 140825.0

  defaultValues: 20

 autounset: true

 setDefaults: true

 ramup: 30

 times: 30

 Errors: 0

 Clicks: 41

The test started at 2014-11-24 13:39:23 and finished at 2014-11-24 13:41:58

Therefore the total duration was around 3 minutes.

The number of configurations by hour was around 23 

","2014-11-24 13:39:23","Test_JT1_1_30_1_KB_GCR_NW_CB.SIMPLE_20_75_140825.0_true_true.csv","23","1","3","41","1","Test_JT1_1_30_1_KB_GCR_NW_CB.SIMPLE_20_75_140825.0_true_true.csv 
 2014-11-24 13:39:23"
"5",4,132,3291,132,132,0,"Test_JT1_1_30_1_KB_GCR_NW_CB.SIMPLE_20_75_140825.0_true_true.csv",2014-11-24 13:39:23,41,0,"1","KB_GCR_NW_CB","140825.0","KB_GCR_NW_CB.SIMPLE_20_75","true","true","30","1","20",2.58333333333333,23.2258064516129,"Users: 1

 Model: KB_GCR_NW_CB

 Version: 140825.0

  defaultValues: 20

 autounset: true

 setDefaults: true

 ramup: 30

 times: 30

 Errors: 0

 Clicks: 41

The test started at 2014-11-24 13:39:23 and finished at 2014-11-24 13:41:58

Therefore the total duration was around 3 minutes.

The number of configurations by hour was around 23 

","2014-11-24 13:39:23","Test_JT1_1_30_1_KB_GCR_NW_CB.SIMPLE_20_75_140825.0_true_true.csv","23","1","3","41","1","Test_JT1_1_30_1_KB_GCR_NW_CB.SIMPLE_20_75_140825.0_true_true.csv 
 2014-11-24 13:39:23"
"6",5,309,3364,309,309,0,"Test_JT1_1_30_1_KB_GCR_NW_CB.SIMPLE_20_75_140825.0_true_true.csv",2014-11-24 13:39:23,41,0,"1","KB_GCR_NW_CB","140825.0","KB_GCR_NW_CB.SIMPLE_20_75","true","true","30","1","20",2.58333333333333,23.2258064516129,"Users: 1

 Model: KB_GCR_NW_CB

 Version: 140825.0

  defaultValues: 20

 autounset: true

 setDefaults: true

 ramup: 30

 times: 30

 Errors: 0

 Clicks: 41

The test started at 2014-11-24 13:39:23 and finished at 2014-11-24 13:41:58

Therefore the total duration was around 3 minutes.

The number of configurations by hour was around 23 

","2014-11-24 13:39:23","Test_JT1_1_30_1_KB_GCR_NW_CB.SIMPLE_20_75_140825.0_true_true.csv","23","1","3","41","1","Test_JT1_1_30_1_KB_GCR_NW_CB.SIMPLE_20_75_140825.0_true_true.csv 
 2014-11-24 13:39:23"
"7",6,313,3352,313,313,0,"Test_JT1_1_30_1_KB_GCR_NW_CB.SIMPLE_20_75_140825.0_true_true.csv",2014-11-24 13:39:23,41,0,"1","KB_GCR_NW_CB","140825.0","KB_GCR_NW_CB.SIMPLE_20_75","true","true","30","1","20",2.58333333333333,23.2258064516129,"Users: 1

 Model: KB_GCR_NW_CB

 Version: 140825.0

  defaultValues: 20

 autounset: true

 setDefaults: true

 ramup: 30

 times: 30

 Errors: 0

 Clicks: 41

The test started at 2014-11-24 13:39:23 and finished at 2014-11-24 13:41:58

Therefore the total duration was around 3 minutes.

The number of configurations by hour was around 23 

","2014-11-24 13:39:23","Test_JT1_1_30_1_KB_GCR_NW_CB.SIMPLE_20_75_140825.0_true_true.csv","23","1","3","41","1","Test_JT1_1_30_1_KB_GCR_NW_CB.SIMPLE_20_75_140825.0_true_true.csv 
 2014-11-24 13:39:23"
"8",7,372,3317,372,372,0,"Test_JT1_1_30_1_KB_GCR_NW_CB.SIMPLE_20_75_140825.0_true_true.csv",2014-11-24 13:39:23,41,0,"1","KB_GCR_NW_CB","140825.0","KB_GCR_NW_CB.SIMPLE_20_75","true","true","30","1","20",2.58333333333333,23.2258064516129,"Users: 1

 Model: KB_GCR_NW_CB

 Version: 140825.0

  defaultValues: 20

 autounset: true

 setDefaults: true

 ramup: 30

 times: 30

 Errors: 0

 Clicks: 41

The test started at 2014-11-24 13:39:23 and finished at 2014-11-24 13:41:58

Therefore the total duration was around 3 minutes.

The number of configurations by hour was around 23 

","2014-11-24 13:39:23","Test_JT1_1_30_1_KB_GCR_NW_CB.SIMPLE_20_75_140825.0_true_true.csv","23","1","3","41","1","Test_JT1_1_30_1_KB_GCR_NW_CB.SIMPLE_20_75_140825.0_true_true.csv 
 2014-11-24 13:39:23"
"9",8,508,3653,508,508,0,"Test_JT1_1_30_1_KB_GCR_NW_CB.SIMPLE_20_75_140825.0_true_true.csv",2014-11-24 13:39:23,41,0,"1","KB_GCR_NW_CB","140825.0","KB_GCR_NW_CB.SIMPLE_20_75","true","true","30","1","20",2.58333333333333,23.2258064516129,"Users: 1

 Model: KB_GCR_NW_CB

 Version: 140825.0

  defaultValues: 20

 autounset: true

 setDefaults: true

 ramup: 30

 times: 30

 Errors: 0

 Clicks: 41

The test started at 2014-11-24 13:39:23 and finished at 2014-11-24 13:41:58

Therefore the total duration was around 3 minutes.

The number of configurations by hour was around 23 

","2014-11-24 13:39:23","Test_JT1_1_30_1_KB_GCR_NW_CB.SIMPLE_20_75_140825.0_true_true.csv","23","1","3","41","1","Test_JT1_1_30_1_KB_GCR_NW_CB.SIMPLE_20_75_140825.0_true_true.csv 
 2014-11-24 13:39:23"
"10",9,470,4122,470,470,0,"Test_JT1_1_30_1_KB_GCR_NW_CB.SIMPLE_20_75_140825.0_true_true.csv",2014-11-24 13:39:23,41,0,"1","KB_GCR_NW_CB","140825.0","KB_GCR_NW_CB.SIMPLE_20_75","true","true","30","1","20",2.58333333333333,23.2258064516129,"Users: 1

 Model: KB_GCR_NW_CB

 Version: 140825.0

  defaultValues: 20

 autounset: true

 setDefaults: true

 ramup: 30

 times: 30

 Errors: 0

 Clicks: 41

The test started at 2014-11-24 13:39:23 and finished at 2014-11-24 13:41:58

Therefore the total duration was around 3 minutes.

The number of configurations by hour was around 23 

","2014-11-24 13:39:23","Test_JT1_1_30_1_KB_GCR_NW_CB.SIMPLE_20_75_140825.0_true_true.csv","23","1","3","41","1","Test_JT1_1_30_1_KB_GCR_NW_CB.SIMPLE_20_75_140825.0_true_true.csv 
 2014-11-24 13:39:23"
"11",10,436,4244,436,436,0,"Test_JT1_1_30_1_KB_GCR_NW_CB.SIMPLE_20_75_140825.0_true_true.csv",2014-11-24 13:39:23,41,0,"1","KB_GCR_NW_CB","140825.0","KB_GCR_NW_CB.SIMPLE_20_75","true","true","30","1","20",2.58333333333333,23.2258064516129,"Users: 1

 Model: KB_GCR_NW_CB

 Version: 140825.0

  defaultValues: 20

 autounset: true

 setDefaults: true

 ramup: 30

 times: 30

 Errors: 0

 Clicks: 41

The test started at 2014-11-24 13:39:23 and finished at 2014-11-24 13:41:58

Therefore the total duration was around 3 minutes.

The number of configurations by hour was around 23 

","2014-11-24 13:39:23","Test_JT1_1_30_1_KB_GCR_NW_CB.SIMPLE_20_75_140825.0_true_true.csv","23","1","3","41","1","Test_JT1_1_30_1_KB_GCR_NW_CB.SIMPLE_20_75_140825.0_true_true.csv 
 2014-11-24 13:39:23"
"12",11,381,4244,381,381,0,"Test_JT1_1_30_1_KB_GCR_NW_CB.SIMPLE_20_75_140825.0_true_true.csv",2014-11-24 13:39:23,41,0,"1","KB_GCR_NW_CB","140825.0","KB_GCR_NW_CB.SIMPLE_20_75","true","true","30","1","20",2.58333333333333,23.2258064516129,"Users: 1

 Model: KB_GCR_NW_CB

 Version: 140825.0

  defaultValues: 20

 autounset: true

 setDefaults: true

 ramup: 30

 times: 30

 Errors: 0

 Clicks: 41

The test started at 2014-11-24 13:39:23 and finished at 2014-11-24 13:41:58

Therefore the total duration was around 3 minutes.

The number of configurations by hour was around 23 

","2014-11-24 13:39:23","Test_JT1_1_30_1_KB_GCR_NW_CB.SIMPLE_20_75_140825.0_true_true.csv","23","1","3","41","1","Test_JT1_1_30_1_KB_GCR_NW_CB.SIMPLE_20_75_140825.0_true_true.csv 
 2014-11-24 13:39:23"
"13",12,348,4324,348,348,0,"Test_JT1_1_30_1_KB_GCR_NW_CB.SIMPLE_20_75_140825.0_true_true.csv",2014-11-24 13:39:23,41,0,"1","KB_GCR_NW_CB","140825.0","KB_GCR_NW_CB.SIMPLE_20_75","true","true","30","1","20",2.58333333333333,23.2258064516129,"Users: 1

 Model: KB_GCR_NW_CB

 Version: 140825.0

  defaultValues: 20

 autounset: true

 setDefaults: true

 ramup: 30

 times: 30

 Errors: 0

 Clicks: 41

The test started at 2014-11-24 13:39:23 and finished at 2014-11-24 13:41:58

Therefore the total duration was around 3 minutes.

The number of configurations by hour was around 23 

","2014-11-24 13:39:23","Test_JT1_1_30_1_KB_GCR_NW_CB.SIMPLE_20_75_140825.0_true_true.csv","23","1","3","41","1","Test_JT1_1_30_1_KB_GCR_NW_CB.SIMPLE_20_75_140825.0_true_true.csv 
 2014-11-24 13:39:23"
"14",13,304,4475,304,304,0,"Test_JT1_1_30_1_KB_GCR_NW_CB.SIMPLE_20_75_140825.0_true_true.csv",2014-11-24 13:39:23,41,0,"1","KB_GCR_NW_CB","140825.0","KB_GCR_NW_CB.SIMPLE_20_75","true","true","30","1","20",2.58333333333333,23.2258064516129,"Users: 1

 Model: KB_GCR_NW_CB

 Version: 140825.0

  defaultValues: 20

 autounset: true

 setDefaults: true

 ramup: 30

 times: 30

 Errors: 0

 Clicks: 41

The test started at 2014-11-24 13:39:23 and finished at 2014-11-24 13:41:58

Therefore the total duration was around 3 minutes.

The number of configurations by hour was around 23 

","2014-11-24 13:39:23","Test_JT1_1_30_1_KB_GCR_NW_CB.SIMPLE_20_75_140825.0_true_true.csv","23","1","3","41","1","Test_JT1_1_30_1_KB_GCR_NW_CB.SIMPLE_20_75_140825.0_true_true.csv 
 2014-11-24 13:39:23"
"15",14,335,4451,335,335,0,"Test_JT1_1_30_1_KB_GCR_NW_CB.SIMPLE_20_75_140825.0_true_true.csv",2014-11-24 13:39:23,41,0,"1","KB_GCR_NW_CB","140825.0","KB_GCR_NW_CB.SIMPLE_20_75","true","true","30","1","20",2.58333333333333,23.2258064516129,"Users: 1

 Model: KB_GCR_NW_CB

 Version: 140825.0

  defaultValues: 20

 autounset: true

 setDefaults: true

 ramup: 30

 times: 30

 Errors: 0

 Clicks: 41

The test started at 2014-11-24 13:39:23 and finished at 2014-11-24 13:41:58

Therefore the total duration was around 3 minutes.

The number of configurations by hour was around 23 

","2014-11-24 13:39:23","Test_JT1_1_30_1_KB_GCR_NW_CB.SIMPLE_20_75_140825.0_true_true.csv","23","1","3","41","1","Test_JT1_1_30_1_KB_GCR_NW_CB.SIMPLE_20_75_140825.0_true_true.csv 
 2014-11-24 13:39:23"
"16",15,414,4427,414,414,0,"Test_JT1_1_30_1_KB_GCR_NW_CB.SIMPLE_20_75_140825.0_true_true.csv",2014-11-24 13:39:23,41,0,"1","KB_GCR_NW_CB","140825.0","KB_GCR_NW_CB.SIMPLE_20_75","true","true","30","1","20",2.58333333333333,23.2258064516129,"Users: 1

 Model: KB_GCR_NW_CB

 Version: 140825.0

  defaultValues: 20

 autounset: true

 setDefaults: true

 ramup: 30

 times: 30

 Errors: 0

 Clicks: 41

The test started at 2014-11-24 13:39:23 and finished at 2014-11-24 13:41:58

Therefore the total duration was around 3 minutes.

The number of configurations by hour was around 23 

","2014-11-24 13:39:23","Test_JT1_1_30_1_KB_GCR_NW_CB.SIMPLE_20_75_140825.0_true_true.csv","23","1","3","41","1","Test_JT1_1_30_1_KB_GCR_NW_CB.SIMPLE_20_75_140825.0_true_true.csv 
 2014-11-24 13:39:23"
"17",16,271,4596,271,271,0,"Test_JT1_1_30_1_KB_GCR_NW_CB.SIMPLE_20_75_140825.0_true_true.csv",2014-11-24 13:39:23,41,0,"1","KB_GCR_NW_CB","140825.0","KB_GCR_NW_CB.SIMPLE_20_75","true","true","30","1","20",2.58333333333333,23.2258064516129,"Users: 1

 Model: KB_GCR_NW_CB

 Version: 140825.0

  defaultValues: 20

 autounset: true

 setDefaults: true

 ramup: 30

 times: 30

 Errors: 0

 Clicks: 41

The test started at 2014-11-24 13:39:23 and finished at 2014-11-24 13:41:58

Therefore the total duration was around 3 minutes.

The number of configurations by hour was around 23 

","2014-11-24 13:39:23","Test_JT1_1_30_1_KB_GCR_NW_CB.SIMPLE_20_75_140825.0_true_true.csv","23","1","3","41","1","Test_JT1_1_30_1_KB_GCR_NW_CB.SIMPLE_20_75_140825.0_true_true.csv 
 2014-11-24 13:39:23"
"18",17,198,4618,198,198,0,"Test_JT1_1_30_1_KB_GCR_NW_CB.SIMPLE_20_75_140825.0_true_true.csv",2014-11-24 13:39:23,41,0,"1","KB_GCR_NW_CB","140825.0","KB_GCR_NW_CB.SIMPLE_20_75","true","true","30","1","20",2.58333333333333,23.2258064516129,"Users: 1

 Model: KB_GCR_NW_CB

 Version: 140825.0

  defaultValues: 20

 autounset: true

 setDefaults: true

 ramup: 30

 times: 30

 Errors: 0

 Clicks: 41

The test started at 2014-11-24 13:39:23 and finished at 2014-11-24 13:41:58

Therefore the total duration was around 3 minutes.

The number of configurations by hour was around 23 

","2014-11-24 13:39:23","Test_JT1_1_30_1_KB_GCR_NW_CB.SIMPLE_20_75_140825.0_true_true.csv","23","1","3","41","1","Test_JT1_1_30_1_KB_GCR_NW_CB.SIMPLE_20_75_140825.0_true_true.csv 
 2014-11-24 13:39:23"
"19",18,208,4594,208,208,0,"Test_JT1_1_30_1_KB_GCR_NW_CB.SIMPLE_20_75_140825.0_true_true.csv",2014-11-24 13:39:23,41,0,"1","KB_GCR_NW_CB","140825.0","KB_GCR_NW_CB.SIMPLE_20_75","true","true","30","1","20",2.58333333333333,23.2258064516129,"Users: 1

 Model: KB_GCR_NW_CB

 Version: 140825.0

  defaultValues: 20

 autounset: true

 setDefaults: true

 ramup: 30

 times: 30

 Errors: 0

 Clicks: 41

The test started at 2014-11-24 13:39:23 and finished at 2014-11-24 13:41:58

Therefore the total duration was around 3 minutes.

The number of configurations by hour was around 23 

","2014-11-24 13:39:23","Test_JT1_1_30_1_KB_GCR_NW_CB.SIMPLE_20_75_140825.0_true_true.csv","23","1","3","41","1","Test_JT1_1_30_1_KB_GCR_NW_CB.SIMPLE_20_75_140825.0_true_true.csv 
 2014-11-24 13:39:23"
"20",19,224,4877,224,224,0,"Test_JT1_1_30_1_KB_GCR_NW_CB.SIMPLE_20_75_140825.0_true_true.csv",2014-11-24 13:39:23,41,0,"1","KB_GCR_NW_CB","140825.0","KB_GCR_NW_CB.SIMPLE_20_75","true","true","30","1","20",2.58333333333333,23.2258064516129,"Users: 1

 Model: KB_GCR_NW_CB

 Version: 140825.0

  defaultValues: 20

 autounset: true

 setDefaults: true

 ramup: 30

 times: 30

 Errors: 0

 Clicks: 41

The test started at 2014-11-24 13:39:23 and finished at 2014-11-24 13:41:58

Therefore the total duration was around 3 minutes.

The number of configurations by hour was around 23 

","2014-11-24 13:39:23","Test_JT1_1_30_1_KB_GCR_NW_CB.SIMPLE_20_75_140825.0_true_true.csv","23","1","3","41","1","Test_JT1_1_30_1_KB_GCR_NW_CB.SIMPLE_20_75_140825.0_true_true.csv 
 2014-11-24 13:39:23"
"21",20,226,4802,226,226,0,"Test_JT1_1_30_1_KB_GCR_NW_CB.SIMPLE_20_75_140825.0_true_true.csv",2014-11-24 13:39:23,41,0,"1","KB_GCR_NW_CB","140825.0","KB_GCR_NW_CB.SIMPLE_20_75","true","true","30","1","20",2.58333333333333,23.2258064516129,"Users: 1

 Model: KB_GCR_NW_CB

 Version: 140825.0

  defaultValues: 20

 autounset: true

 setDefaults: true

 ramup: 30

 times: 30

 Errors: 0

 Clicks: 41

The test started at 2014-11-24 13:39:23 and finished at 2014-11-24 13:41:58

Therefore the total duration was around 3 minutes.

The number of configurations by hour was around 23 

","2014-11-24 13:39:23","Test_JT1_1_30_1_KB_GCR_NW_CB.SIMPLE_20_75_140825.0_true_true.csv","23","1","3","41","1","Test_JT1_1_30_1_KB_GCR_NW_CB.SIMPLE_20_75_140825.0_true_true.csv 
 2014-11-24 13:39:23"
"22",21,242,4986,242,242,0,"Test_JT1_1_30_1_KB_GCR_NW_CB.SIMPLE_20_75_140825.0_true_true.csv",2014-11-24 13:39:23,41,0,"1","KB_GCR_NW_CB","140825.0","KB_GCR_NW_CB.SIMPLE_20_75","true","true","30","1","20",2.58333333333333,23.2258064516129,"Users: 1

 Model: KB_GCR_NW_CB

 Version: 140825.0

  defaultValues: 20

 autounset: true

 setDefaults: true

 ramup: 30

 times: 30

 Errors: 0

 Clicks: 41

The test started at 2014-11-24 13:39:23 and finished at 2014-11-24 13:41:58

Therefore the total duration was around 3 minutes.

The number of configurations by hour was around 23 

","2014-11-24 13:39:23","Test_JT1_1_30_1_KB_GCR_NW_CB.SIMPLE_20_75_140825.0_true_true.csv","23","1","3","41","1","Test_JT1_1_30_1_KB_GCR_NW_CB.SIMPLE_20_75_140825.0_true_true.csv 
 2014-11-24 13:39:23"
"23",22,243,4927,243,243,0,"Test_JT1_1_30_1_KB_GCR_NW_CB.SIMPLE_20_75_140825.0_true_true.csv",2014-11-24 13:39:23,41,0,"1","KB_GCR_NW_CB","140825.0","KB_GCR_NW_CB.SIMPLE_20_75","true","true","30","1","20",2.58333333333333,23.2258064516129,"Users: 1

 Model: KB_GCR_NW_CB

 Version: 140825.0

  defaultValues: 20

 autounset: true

 setDefaults: true

 ramup: 30

 times: 30

 Errors: 0

 Clicks: 41

The test started at 2014-11-24 13:39:23 and finished at 2014-11-24 13:41:58

Therefore the total duration was around 3 minutes.

The number of configurations by hour was around 23 

","2014-11-24 13:39:23","Test_JT1_1_30_1_KB_GCR_NW_CB.SIMPLE_20_75_140825.0_true_true.csv","23","1","3","41","1","Test_JT1_1_30_1_KB_GCR_NW_CB.SIMPLE_20_75_140825.0_true_true.csv 
 2014-11-24 13:39:23"
